id,name,type,state,oricodes,total_shootings,latitude,longitude
3145,Abbeville County Sheriff's Office,sheriff,SC,SC00100,1,47.246826,-123.121592
2576,Aberdeen Police Department,local_police,WA,WA01401,1,45.4874214,-122.8916961
2114,Abilene Police Department,local_police,TX,TX22101,3,37.694766,-97.280554
2088,Abington Township Police Department,local_police,PA,PA04601,1,37.76291,-122.422001
3187,Acadia Parish Sheriff's Office,sheriff,LA,LA00100,1,40.383937,-104.692261
3375,Acworth Police Department,local_police,GA,GA03305,1,35.876991,-97.423454
1241,Ada County Sheriff's Office,sheriff,ID,ID00100,3,33.327887,-111.840959
1615,Adair County Sheriff's Office,sheriff,OK,OK00100,1,38.703755,-97.563904
1978,Adams County Sheriff's Department,sheriff,CO,CO00100,12,40.80925,-91.118875
897,Adams County Sheriff's Department,sheriff,ID,ID00200,1,40.412936,-79.991408
3706,Adams County Sheriff's Office,sheriff,IL,IL00100,1,37.929798,-121.298909
3194,Adams County Sheriff's Office,sheriff,NE,NB00100,1,28.954889,-95.368801
3712,Adams County Sheriff's Office,sheriff,WA,WA00100,1,39.99874,-82.885407
3561,Adams County Sheriff's Office,sheriff,WI,WI00100,1,41.581526,-93.608994
2579,Ada Police Department,local_police,OK,OK06201,3,30.021509,-90.012433
3107,Adel Police Department,local_police,GA,GA03701,1,45.85939,-108.315018
914,Aiken County Sheriff's Office,sheriff,SC,SC00200,6,40.771699,-111.871568
1203,Aitkin County Sheriff's Office,sheriff,MN,MN00100,1,33.111333,-92.358981
815,Akron Police Department,local_police,OH,OH07701,8,41.083187,-112.083141
589,Alabama Law Enforcement Agency,state_police,AL,,2,34.542149,-91.965797
860,Alabama State Police,state_police,AL,,4,31.857692,-106.438816
3848,Alabama State Troopers,state_police,AL,ALAST00,2,39.691905,-88.30361
1180,Alachua County Sheriff's Office,sheriff,FL,FL00100,4,33.950769,-118.18265
2168,Alamance County Sheriff's Office,sheriff,NC,NC00100,3,36.185136,-115.116317
806,Alameda County Sheriff's Office,sheriff,CA,CA00100,5,35.094656,-106.586248
1434,Alamogordo Police Department,local_police,NM,NM01901,2,28.911926,-98.542476
2354,Alamosa Police Department,local_police,CO,CO00201,1,44.957673,-93.094123
775,Alaska State Troopers,state_police,AK,AKASP00;AKAST01,30,38.31704,-90.794297
958,Albany County Sheriff's Office,sheriff,WY,WY00100,2,36.782704,-76.347536
1443,Albany Police Department,local_police,GA,GA04701,2,40.405205,-74.301213
2237,Albany Police Department,local_police,NY,NY00101,1,29.031478,-95.427894
3901,Albany Police Department,local_police,OR,OR02201,1,40.539832,-111.88737
3551,Albemarle County Police Department,local_police,VA,VA00203,1,39.826282,-85.99107
2370,Albert Lea Police Department,local_police,MN,MN02401,1,39.725675,-104.772395
3452,Albertville Police Department,local_police,AL,AL05001,1,44.825491,-93.357998
3498,Albion Department of Public Safety,local_police,MI,MI13207,1,38.265646,-121.997297
508,Albuquerque Police Department,local_police,NM,NM00101,41,30.748486,-92.440665
3165,Alcorn County Sheriff's Office,sheriff,MS,MS00200,1,32.407111,-96.068594
793,Alexandria Police Department,local_police,LA,LA04001,2,37.588029,-122.05951
2924,Alexandria Police Department,local_police,VA,VA09900,2,35.766225,-95.394405
1754,Alhambra Police Department,local_police,CA,CA01901,1,34.038256,-118.232686
3607,Alice Police Department,local_police,TX,TX12501,1,32.810519,-97.333804
3491,Allegan County Sheriff's Office,sheriff,MI,MI03103,1,33.084657,-112.041995
2149,Alleghany County Sheriff's Office,sheriff,NC,NC00300,1,37.565241,-82.920878
1055,Allegheny County Port Authority,state_other,PA,PA0022D,1,42.256717,-70.931608
1831,Allen County Sheriff's Department,sheriff,OH,OH00200,3,33.509395,-111.908609
2028,Allen County Sheriff's Office,sheriff,KY,KY00200,1,33.741702,-116.958179
1555,Allen Police Department,local_police,TX,TX04301,4,26.558696,-99.123302
1746,Allentown Police Department,local_police,PA,PA03901,5,38.664913,-90.250128
4019,Alliance Police Department,local_police,OH,OH07601,1,42.908098,-71.336722
4050,Alpharetta Department of Public Safety,local_police,GA,GA06004,1,31.080258,-105.028485
